agent_id,agency_name,municipality_id,municipality_fullName,membership,membership_current,quota,quota_current,price,trial,accountManager,secondaryAccountManager,entrustments,search_requests,agent_developer,properties,different_level4_areas_of_properties,has_alerts,searches_without_alert,searches_with_alert,specialty_5,specialty_10,specialty_30,value_12m,membership_12m,lvl2_areas_receive_entrustments
11896,Angel Investment Real Estate,2217,Palaio Faliro (Athens - South),Brand Plus Quota,Brand Plus,30,30,528.0,no,Stathis Koutmeridis,Ioanna Katsou,2110,2435,agent,14,10,0,0,0,0,0,0,1058,516,3
11902,Dom real estate,3976,Kamena Vourla (Phthiotis),Brand Quota,Brand,220,220,705.65,no,Theodosis Tsiavos,Ioanna Katsou,368,390,agent,215,17,0,0,0,6,5,3,816,567,3
11914,A-M House Real Estate Sithonia Halkidiki,4025,Sithonia (Chalkidiki),Expert Quota,Expert,150,150,1414.0,no,Christos Koulikis,Konstantinos Koutsoupas,372,376,agent,128,8,1,0,2,1,1,1,5062,1298,1
11917,IBP Greece & Benelux,404,Belgium (Europe),Expert Quota,Expert,750,750,3248.0,no,Alexandros Zanias,Ioanna Katsou,5170,7097,agent,638,164,1,0,22,34,10,2,4010,3840,21
11918,ΑΛΦΑ-ΩΜΕΓΑ,124230,Lefkada (Lefkada Prefecture),Expert Quota,Expert,100,100,1251.61,no,Nikos Michail,Konstantinos Koutsoupas,55,49,agent,62,5,1,0,12,1,1,1,1459,1222,1
11927,Island Domus,3685,Paros (Cyclades),Brand Plus Quota,Brand Plus,100,100,949.47,no,Alexandros Zanias,Giorgos Koutsobinas,50,224,agent,76,3,0,0,0,1,1,1,1600,979,1
11937,Μενέξης Κατασκευαστική,2907,Kalamaria (Thessaloniki - Suburbs),Developer Quota,Brand,7,0,1120.16,no,Theodosis Tsiavos,Vassia Roga,19,313,developer,7,2,0,0,0,1,0,0,691,691,2
11944,BEE PLAN,3851,Giannitsa (Pella),Brand Quota,Brand,50,50,434.0,no,Stathis Koutmeridis,Ioanna Katsou,104,14,agent,50,9,0,0,0,1,1,1,761,430,2
11956,PLATINUM REAL ESTATE,499121,Toumpa (Thessaloniki - Municipality),Brand Plus Quota,Brand Plus,50,50,763.3,no,Maria Retsina,Filitsa Skoura,673,2569,agent,29,9,0,0,0,1,1,0,1036,697,1
11962,ELEVEN VALUE,2111,Marousi (Athens - North),Expert Quota,Expert,50,50,1066.45,no,Foteini Koutsogianni,Anastasia Kyprioti,1589,1319,agent,23,16,1,0,9,0,0,0,2124,770,7
