"lvl4_id","lvl4_name","lvl2_id","lvl2_name","lvl1_id","lvl1_name"
2732,Nea Peramos (Megalo Pefko),107,Rest of Attica,105103,Attica
2734,Oinoi,107,Rest of Attica,105103,Attica
2735,Palaia Fokaia,107,Rest of Attica,105103,Attica
2736,Polydendri,107,Rest of Attica,105103,Attica
2739,Saronida,107,Rest of Attica,105103,Attica
2742,Sounio,107,Rest of Attica,105103,Attica
2743,Sikamino,107,Rest of Attica,105103,Attica
2745,Fili,107,Rest of Attica,105103,Attica
2747,Oropos,107,Rest of Attica,105103,Attica
2803,Ano Poli,108,Thessaloniki - Municipality,105101,Thessaloniki
2823,Charilaou,108,Thessaloniki - Municipality,105101,Thessaloniki
2900,Agios Pavlos,109,Thessaloniki - Suburbs,105101,Thessaloniki
2901,Ampelokipoi,109,Thessaloniki - Suburbs,105101,Thessaloniki
2902,Eleftherio-Kordelio,109,Thessaloniki - Suburbs,105101,Thessaloniki
2903,Efkarpia,109,Thessaloniki - Suburbs,105101,Thessaloniki
2904,Evosmos,109,Thessaloniki - Suburbs,105101,Thessaloniki
2905,Thermaikos,109,Thessaloniki - Suburbs,105101,Thessaloniki
2906,Thermi,109,Thessaloniki - Suburbs,105101,Thessaloniki
2907,Kalamaria,109,Thessaloniki - Suburbs,105101,Thessaloniki
2908,Menemeni,109,Thessaloniki - Suburbs,105101,Thessaloniki
2909,Neapoli,109,Thessaloniki - Suburbs,105101,Thessaloniki
2910,Panorama,109,Thessaloniki - Suburbs,105101,Thessaloniki
2911,Pefka,109,Thessaloniki - Suburbs,105101,Thessaloniki
2912,Polichni,109,Thessaloniki - Suburbs,105101,Thessaloniki
2913,Pylea,109,Thessaloniki - Suburbs,105101,Thessaloniki
2914,Stavroupoli,109,Thessaloniki - Suburbs,105101,Thessaloniki
2915,Sikies,109,Thessaloniki - Suburbs,105101,Thessaloniki
2917,Chortiatis,109,Thessaloniki - Suburbs,105101,Thessaloniki
2918,Oreokastro,109,Thessaloniki - Suburbs,105101,Thessaloniki
3000,Agios Athanasios,110,Thessaloniki - Rest of Prefecture,105101,Thessaloniki
3001,Agios Georgios,110,Thessaloniki - Rest of Prefecture,105101,Thessaloniki
3002,Axios,109,Thessaloniki - Suburbs,105101,Thessaloniki
3003,Apollonia,110,Thessaloniki - Rest of Prefecture,105101,Thessaloniki
3004,Arethousa,110,Thessaloniki - Rest of Prefecture,105101,Thessaloniki
3005,Assiros,110,Thessaloniki - Rest of Prefecture,105101,Thessaloniki
3006,Vasilika,109,Thessaloniki - Suburbs,105101,Thessaloniki
3007,Vertiskos,110,Thessaloniki - Rest of Prefecture,105101,Thessaloniki
3008,Egnatia,110,Thessaloniki - Rest of Prefecture,105101,Thessaloniki
3009,Epanomi,109,Thessaloniki - Suburbs,105101,Thessaloniki
3010,Echedoros,109,Thessaloniki - Suburbs,105101,Thessaloniki
3011,Kallithea,109,Thessaloniki - Suburbs,105101,Thessaloniki
3012,Kallindoia,110,Thessaloniki - Rest of Prefecture,105101,Thessaloniki
3013,Koroneia,110,Thessaloniki - Rest of Prefecture,105101,Thessaloniki
3014,Koufalia,110,Thessaloniki - Rest of Prefecture,105101,Thessaloniki
3015,Lagkadas,110,Thessaloniki - Rest of Prefecture,105101,Thessaloniki
3016,Lachanas,110,Thessaloniki - Rest of Prefecture,105101,Thessaloniki
3017,Maditos,110,Thessaloniki - Rest of Prefecture,105101,Thessaloniki
3018,Michaniona,109,Thessaloniki - Suburbs,105101,Thessaloniki
3019,Mikra,109,Thessaloniki - Suburbs,105101,Thessaloniki
3020,Migdonia,109,Thessaloniki - Suburbs,105101,Thessaloniki
3021,Rentina,110,Thessaloniki - Rest of Prefecture,105101,Thessaloniki
3022,Sochos,110,Thessaloniki - Rest of Prefecture,105101,Thessaloniki
3023,Chalastra,109,Thessaloniki - Suburbs,105101,Thessaloniki
3024,Chalkidona,110,Thessaloniki - Rest of Prefecture,105101,Thessaloniki
3200,Aggelokastro,150,Aetolia & Acarnania,105054,Sterea Ellada
3201,Agrinio,150,Aetolia & Acarnania,105054,Sterea Ellada
3202,Aitoliko,150,Aetolia & Acarnania,105054,Sterea Ellada
3203,Alizia,150,Aetolia & Acarnania,105054,Sterea Ellada
