root_id,lvl1_id,lvl2_id,lvl4_id,lvl2_name,lvl4_name,properties,agents,agents_received_entrustment,agents_received_search,entrustments,search_requests,search_requests_norm,specialists_5,specialists_10,specialists_30,marketwatch_alerts
1,105103,103,2315,Athens - West,Petroupoli,846,148,722,2604,27,559,135,28,20,9,131
1,105103,103,2316,Athens - West,Chaidari,1072,199,725,2600,23,564,142,40,20,9,128
1,105103,104,2400,Athens - East,Anthousa,337,104,748,2570,10,261,15,10,4,2,53
1,105103,104,2401,Athens - East,Artemida (Loutsa),1700,264,794,2582,43,418,145,52,26,12,145
1,105103,104,2402,Athens - East,Gerakas,3134,367,810,2656,26,514,116,105,67,26,202
1,105103,104,2403,Athens - East,Glika Nera,1047,192,774,2572,14,353,51,47,24,8,131
1,105103,104,2404,Athens - East,Koropi,1980,345,829,2549,57,407,113,89,43,9,188
1,105103,104,2405,Athens - East,Marathonas,1006,250,786,2557,24,267,34,32,14,8,104
1,105103,107,2406,Rest of Attica,Markopoulo,2715,431,658,2356,56,316,143,101,47,15,197
1,105103,104,2407,Athens - East,Nea Makri,1472,258,795,2583,47,339,84,49,25,10,149
1,105103,104,2408,Athens - East,Paiania,1117,225,792,2574,21,338,55,41,17,8,157
1,105103,104,2409,Athens - East,Pallini,1807,295,799,2572,37,441,94,64,29,11,157
1,105103,107,2410,Rest of Attica,Pikermi,1475,267,630,2335,28,152,16,43,17,6,119
1,105103,107,2411,Rest of Attica,Rafina,1242,249,618,2553,15,222,70,45,26,7,142
1,105103,104,2412,Athens - East,Spata,930,187,765,2578,12,331,55,37,22,5,133
1,105103,105,2506,Piraeus,Neo Faliro,415,166,708,2703,15,743,123,21,8,1,146
1,105103,106,2600,Piraeus suburbs,Agios Ioannis Rentis,707,201,443,2628,18,216,53,34,11,2,125
1,105103,106001,2601,Argosaronikos islands,Agkistri,31,13,186,1532,3,27,18,1,1,0,25
1,105103,106001,2602,Argosaronikos islands,Aegina,1314,237,248,1604,30,76,67,32,17,4,101
1,105103,106001,2603,Argosaronikos islands,Abelakia,172,51,193,1495,2,10,3,7,3,1,3
1,105050,177,2604,Lakonia,Antikythira,2,2,0,1088,0,19,1,0,0,0,0
1,105103,106,2605,Piraeus suburbs,Drapetsona,352,99,404,2389,5,173,31,12,9,2,83
1,105103,106,2606,Piraeus suburbs,Keratsini,1417,253,481,2392,29,290,118,60,27,8,127
1,105103,106,2607,Piraeus suburbs,Koridallos,1177,208,509,2438,41,403,162,45,21,6,132
1,105050,177,2608,Lakonia,Kythira,136,68,122,1245,3,27,8,5,2,0,9
1,105103,106001,2609,Argosaronikos islands,Methana,38,21,174,1494,3,11,2,1,0,0,2
1,105103,106,2610,Piraeus suburbs,Moschato,1592,306,514,2431,21,411,138,64,22,8,170
1,105103,106,2611,Piraeus suburbs,Nikaia,2469,325,493,2447,51,435,183,82,45,12,155
1,105103,106,2612,Piraeus suburbs,Perama,555,139,464,2384,18,166,41,20,12,5,95
1,105103,106001,2613,Argosaronikos islands,Poros,124,59,220,1582,8,26,13,6,1,1,21
1,105103,106001,2614,Argosaronikos islands,Salamina,710,129,239,1579,48,106,90,14,8,7,32
1,105103,106001,2615,Argosaronikos islands,Spetses,257,95,211,1520,4,22,14,10,4,1,24
1,105103,106,2616,Piraeus suburbs,Tavros,699,214,431,2422,3,260,54,27,12,2,130
1,105103,106001,2617,Argosaronikos islands,Trizina,177,46,206,1501,6,14,6,9,5,1,10
1,105103,106001,2618,Argosaronikos islands,Hydra,124,72,0,1497,0,13,6,5,1,0,24
1,105103,107,2701,Rest of Attica,Agios Constantinos,57,27,618,2331,59,109,4,1,1,0,21
1,105103,107,2703,Rest of Attica,Anavissos,1564,277,640,2347,15,179,44,58,34,11,144
1,105103,107,2704,Rest of Attica,Aspropirgos,621,139,618,2331,37,157,39,30,16,4,75
1,105103,107,2705,Rest of Attica,Avlona,165,73,579,2328,13,112,8,8,2,0,28
1,105103,107,2706,Rest of Attica,Afidnes,468,169,600,2328,13,116,9,18,7,2,85
1,105103,104,2707,Athens - East,Varnavas,112,72,735,2542,8,224,8,4,1,0,21
1,105103,107,2709,Rest of Attica,Vilia,159,81,599,2338,23,123,18,5,2,0,36
1,105103,104,2711,Athens - East,Grammatiko,56,36,609,2573,1,228,8,0,0,0,16
1,105103,107,2712,Rest of Attica,Elefsina,267,73,602,2359,14,245,110,10,7,2,23
1,105103,107,2713,Rest of Attica,Erithres,11,10,547,2330,3,107,3,0,0,0,0
1,105103,107,2715,Rest of Attica,Kalamos,331,114,560,2352,8,126,19,12,6,2,43
1,105103,107,2716,Rest of Attica,Kalivia Thorikou,3424,412,668,2367,37,215,68,115,66,19,203
1,105103,107,2717,Rest of Attica,Com. Kapandriti,305,120,597,2328,15,108,4,14,5,1,40
1,105055,166,2718,Thesprotia,Souli,0,0,0,85,0,7,1,0,0,0,0
1,105103,107,2719,Rest of Attica,Keratea,1525,285,635,2355,48,155,34,56,25,6,116
1,105103,107,2721,Rest of Attica,Kouvaras,148,81,523,2328,4,109,3,6,1,0,44
1,105103,107,2723,Rest of Attica,Lavrio,470,128,614,2344,13,159,41,20,10,2,85
1,105103,107,2724,Rest of Attica,Magoula,112,44,526,2328,2,125,13,6,2,0,30
1,105103,107,2725,Rest of Attica,Com. Malakasa,108,58,492,2328,3,107,3,4,2,0,11
1,105054,193,2726,Phthiotis,Malesina,661,135,103,570,22,17,8,12,5,2,4
1,105103,107,2727,Rest of Attica,Mandra,200,68,571,2377,14,132,19,11,5,0,51
1,105103,107,2728,Rest of Attica,Markopoulo Oropou,198,70,512,2328,5,121,13,6,3,1,39
1,105103,107,2730,Rest of Attica,Megara,423,151,615,2590,19,147,35,15,6,1,40
1,105103,107,2732,Rest of Attica,Nea Peramos (Megalo Pefko),128,55,602,2556,11,146,31,5,3,0,34
1,105103,107,2733,Rest of Attica,Com. Nea Palatia,189,60,0,0,2,0,0,0,0,0,19
1,105103,107,2734,Rest of Attica,Oinoi,14,8,551,2328,4,109,3,1,0,0,5
1,105103,107,2735,Rest of Attica,Palaia Fokaia,639,181,587,2367,4,133,17,26,12,3,113
1,105103,107,2736,Rest of Attica,Polydendri,82,48,470,2329,1,109,5,2,0,0,21
1,105103,107,2739,Rest of Attica,Saronida,1742,267,629,2390,6,176,42,59,32,12,173
1,105103,107,2740,Rest of Attica,Com. Skalas Oropou,342,102,0,0,12,0,0,0,0,0,42
1,105103,107,2742,Rest of Attica,Sounio,74,46,516,2329,1,120,12,4,0,0,55
1,105103,107,2743,Rest of Attica,Sikamino,95,41,544,2329,4,110,4,2,1,0,18
1,105103,107,2745,Rest of Attica,Fili,62,31,479,2330,2,118,12,2,0,0,27
1,105103,107,2747,Rest of Attica,Oropos,449,67,625,2664,11,170,51,22,12,6,63
1,105101,108,2803,Thessaloniki - Municipality,Ano Poli,1050,258,851,2267,28,1411,146,57,32,3,280
1,105101,108,2823,Thessaloniki - Municipality,Charilaou,1553,284,829,2348,22,1527,204,88,43,7,302
1,105101,109,2900,Thessaloniki - Suburbs,Agios Pavlos,337,136,673,1635,13,401,26,18,3,0,64
1,105101,109,2901,Thessaloniki - Suburbs,Ampelokipoi,1075,246,683,1801,34,545,120,46,23,5,128
1,105101,109,2902,Thessaloniki - Suburbs,Eleftherio-Kordelio,547,145,694,1672,19,484,88,26,17,2,123
1,105101,109,2903,Thessaloniki - Suburbs,Efkarpia,475,143,697,1667,21,493,81,22,12,1,115
1,105101,109,2904,Thessaloniki - Suburbs,Evosmos,1903,229,685,1754,36,778,296,69,45,16,187
1,105101,109,2905,Thessaloniki - Suburbs,Thermaikos,1914,264,726,1674,39,604,221,71,46,11,236
1,105101,109,2906,Thessaloniki - Suburbs,Thermi,4190,347,772,1647,47,639,204,119,73,33,241
1,105101,109,2907,Thessaloniki - Suburbs,Kalamaria,4133,411,792,1780,69,836,347,146,83,29,357
1,105101,109,2908,Thessaloniki - Suburbs,Menemeni,638,171,657,1655,33,416,39,40,12,2,118
1,105101,109,2909,Thessaloniki - Suburbs,Neapoli,837,211,684,1832,27,534,92,44,21,3,163
1,105101,109,2910,Thessaloniki - Suburbs,Panorama,2030,288,724,1978,13,425,42,77,39,17,208
1,105101,109,2911,Thessaloniki - Suburbs,Pefka,475,134,683,1763,12,484,83,28,13,2,112
1,105101,109,2912,Thessaloniki - Suburbs,Polichni,533,173,683,1763,13,523,94,34,10,1,114
1,105101,109,2913,Thessaloniki - Suburbs,Pylea,2764,341,785,1730,39,660,166,100,61,22,282
1,105101,109,2914,Thessaloniki - Suburbs,Stavroupoli,1199,245,712,1908,32,592,144,63,25,5,191
1,105101,109,2915,Thessaloniki - Suburbs,Sikies,1058,242,681,1810,27,527,88,59,22,5,182
1,105101,109,2917,Thessaloniki - Suburbs,Chortiatis,886,202,700,1754,27,422,49,44,26,5,155
1,105101,109,2918,Thessaloniki - Suburbs,Oreokastro,1122,222,715,1696,37,474,82,53,24,6,196
1,105101,110,3000,Thessaloniki - Rest of Prefecture,Agios Athanasios,277,82,535,1957,18,117,20,10,5,3,33
1,105101,110,3001,Thessaloniki - Rest of Prefecture,Agios Georgios,366,99,548,2025,25,129,28,11,5,4,18
1,105101,109,3002,Thessaloniki - Suburbs,Axios,31,18,620,1634,4,362,14,2,0,0,4
1,105101,110,3003,Thessaloniki - Rest of Prefecture,Apollonia,40,22,473,1960,4,102,5,1,0,0,0
1,105101,110,3004,Thessaloniki - Rest of Prefecture,Arethousa,14,9,467,1957,4,97,3,0,0,0,14
1,105101,110,3005,Thessaloniki - Rest of Prefecture,Assiros,58,30,0,1957,0,101,6,3,0,0,25
1,105101,109,3006,Thessaloniki - Suburbs,Vasilika,753,189,689,1638,36,392,32,36,18,6,110
1,105101,110,3007,Thessaloniki - Rest of Prefecture,Vertiskos,53,20,499,1957,4,98,4,3,1,0,8
1,105101,110,3008,Thessaloniki - Rest of Prefecture,Egnatia,36,16,445,2476,3,109,5,2,1,0,8
1,105101,109,3009,Thessaloniki - Suburbs,Epanomi,987,209,701,1642,26,415,52,39,22,4,125
1,105101,109,3010,Thessaloniki - Suburbs,Echedoros,1121,182,701,1635,52,463,101,38,20,5,157
1,105101,109,3011,Thessaloniki - Suburbs,Kallithea,273,77,666,2277,9,393,33,14,5,1,85
1,105101,110,3012,Thessaloniki - Rest of Prefecture,Kallindoia,48,23,281,1960,1,100,5,2,1,0,0
1,105101,110,3013,Thessaloniki - Rest of Prefecture,Koroneia,81,42,525,1957,12,96,3,6,1,0,18
1,105101,110,3014,Thessaloniki - Rest of Prefecture,Koufalia,69,28,514,1958,12,101,6,4,0,0,6
1,105101,110,3015,Thessaloniki - Rest of Prefecture,Lagkadas,558,125,548,1968,26,152,49,22,10,4,35
1,105101,110,3016,Thessaloniki - Rest of Prefecture,Lachanas,67,32,506,1957,4,97,3,2,2,0,18
1,105101,110,3017,Thessaloniki - Rest of Prefecture,Maditos,22,14,452,1959,2,99,5,1,0,0,0
1,105101,109,3018,Thessaloniki - Suburbs,Michaniona,543,141,696,1654,17,424,54,25,11,1,117
1,105101,109,3019,Thessaloniki - Suburbs,Mikra,1733,301,711,1639,24,413,50,77,43,11,208
1,105101,109,3020,Thessaloniki - Suburbs,Migdonia,752,116,693,1636,13,391,32,20,11,5,92
1,105101,110,3021,Thessaloniki - Rest of Prefecture,Rentina,100,39,524,1958,7,111,13,5,4,0,22
1,105101,110,3022,Thessaloniki - Rest of Prefecture,Sochos,37,14,261,1957,1,99,5,1,1,0,0
1,105101,109,3023,Thessaloniki - Suburbs,Chalastra,44,25,608,1634,6,362,14,1,1,0,16
1,105101,110,3024,Thessaloniki - Rest of Prefecture,Chalkidona,72,42,507,1957,11,100,5,2,1,0,20
1,105054,150,3200,Aetolia & Acarnania,Aggelokastro,4,4,75,381,1,9,0,0,0,0,0
1,105054,150,3201,Aetolia & Acarnania,Agrinio,1524,45,99,387,39,88,79,14,11,7,16
1,105054,150,3202,Aetolia & Acarnania,Aitoliko,13,7,76,381,2,10,1,0,0,0,4
1,105054,150,3203,Aetolia & Acarnania,Alizia,17,9,0,381,0,10,1,1,0,0,4
1,105054,150,3204,Aetolia & Acarnania,Amfilochia,78,35,95,384,20,19,10,3,1,0,4
1,105054,150,3205,Aetolia & Acarnania,Anaktorio,70,40,93,383,5,10,1,1,1,0,3
1,105054,150,3206,Aetolia & Acarnania,Antirrio,141,50,95,382,13,12,3,5,3,0,7
1,105054,150,3207,Aetolia & Acarnania,Apodotia,14,9,0,381,0,10,1,1,0,0,1
1,105054,150,3208,Aetolia & Acarnania,Arakinthos,19,12,78,381,1,9,0,1,0,0,4
1,105054,150,3209,Aetolia & Acarnania,Astakos,47,19,76,381,1,13,4,3,1,0,1
1,105054,150,3210,Aetolia & Acarnania,Thermos,32,18,80,381,2,9,0,1,0,0,4
1,105054,150,3211,Aetolia & Acarnania,Thesties,78,10,72,381,1,10,1,5,3,0,6
1,105054,150,3212,Aetolia & Acarnania,Inachos,1,1,77,381,1,9,0,0,0,0,0
1,105054,150,3213,Aetolia & Acarnania,Kekropia (Palairou),67,26,87,382,4,13,3,3,2,0,4
1,105054,150,3214,Aetolia & Acarnania,Makrineia,14,10,51,381,1,12,3,0,0,0,4
1,105054,150,3215,Aetolia & Acarnania,Medeonas,5,5,0,381,0,9,0,0,0,0,1
1,105054,150,3216,Aetolia & Acarnania,Menidi,17,10,79,381,2,13,4,1,0,0,0
1,105054,150,3217,Aetolia & Acarnania,Iera Poli Messologiou,71,31,85,427,4,29,19,4,1,0,4
1,105054,150,3218,Aetolia & Acarnania,Navpaktos,282,70,106,1223,18,50,39,9,6,2,8
